Facility Name,Facility ID,State,Measure Name,Excess Readmission Ratio,Observed Readmission Rate,Expected Readmission Rate,Excess Readmissions Threshold
GOOD SAMARITAN MEDICAL CENTER LLC,60116,CO,READM-30-HF-HRRP,0.9883,17.1614,17.3648,Below Threshold
GOOD SAMARITAN MEDICAL CENTER LLC,60116,CO,READM-30-COPD-HRRP,1.0204,19.5578,19.1667,Above Threshold
GOOD SAMARITAN MEDICAL CENTER LLC,60116,CO,READM-30-AMI-HRRP,0.9704,11.5903,11.9435,Below Threshold
"ANIMAS SURGICAL HOSPITAL, LLC",60117,CO,READM-30-HIP-KNEE-HRRP,0.8675,2.5883,2.9836,Below Threshold
MEDICAL CENTER OF THE ROCKIES,60119,CO,READM-30-PN-HRRP,0.9587,16.4395,17.1483,Below Threshold
MEDICAL CENTER OF THE ROCKIES,60119,CO,READM-30-HIP-KNEE-HRRP,0.9356,4.0552,4.3344,Below Threshold
MEDICAL CENTER OF THE ROCKIES,60119,CO,READM-30-HF-HRRP,0.8887,17.5535,19.7515,Below Threshold
MEDICAL CENTER OF THE ROCKIES,60119,CO,READM-30-COPD-HRRP,0.9952,21.0687,21.1713,Below Threshold
MEDICAL CENTER OF THE ROCKIES,60119,CO,READM-30-CABG-HRRP,1.1199,11.6803,10.43,Above Threshold
MEDICAL CENTER OF THE ROCKIES,60119,CO,READM-30-AMI-HRRP,0.979,11.388,11.6329,Below Threshold
ORTHOCOLORADO HOSP AT ST ANTHONY MED CAMPUS,60124,CO,READM-30-HIP-KNEE-HRRP,0.9061,3.8616,4.2616,Below Threshold
CENTURA CASTLE ROCK ADVENTIST HOSPITAL,60125,CO,READM-30-PN-HRRP,0.9978,14.5461,14.578,Below Threshold
CENTURA CASTLE ROCK ADVENTIST HOSPITAL,60125,CO,READM-30-HIP-KNEE-HRRP,1.0598,4.3061,4.0632,Above Threshold
CENTURA CASTLE ROCK ADVENTIST HOSPITAL,60125,CO,READM-30-HF-HRRP,0.9486,18.7037,19.7182,Below Threshold
CENTURA CASTLE ROCK ADVENTIST HOSPITAL,60125,CO,READM-30-COPD-HRRP,1.0486,15.7366,15.0079,Above Threshold
LONGS PEAK HOSPITAL,60128,CO,READM-30-PN-HRRP,0.9691,15.8158,16.3198,Below Threshold
LONGS PEAK HOSPITAL,60128,CO,READM-30-HF-HRRP,0.9366,16.8612,18.0033,Below Threshold
LONGS PEAK HOSPITAL,60128,CO,READM-30-COPD-HRRP,0.9696,16.5238,17.0421,Below Threshold
LONGS PEAK HOSPITAL,60128,CO,READM-30-AMI-HRRP,0.9722,10.0112,10.2969,Below Threshold
UCHEALTH BROOMFIELD HOSPITAL,60129,CO,READM-30-HIP-KNEE-HRRP,1.0226,4.6567,4.5539,Above Threshold
UCHEALTH GRANDVIEW HOSPITAL,60130,CO,READM-30-HIP-KNEE-HRRP,0.9204,3.2487,3.5295,Below Threshold
UCHEALTH GREELEY HOSPITAL,60131,CO,READM-30-PN-HRRP,1.0054,16.2402,16.1537,Above Threshold
UCHEALTH GREELEY HOSPITAL,60131,CO,READM-30-HF-HRRP,0.9093,17.4314,19.1711,Below Threshold
UCHEALTH GREELEY HOSPITAL,60131,CO,READM-30-COPD-HRRP,0.9793,20.83,21.2707,Below Threshold
UCHEALTH GREELEY HOSPITAL,60131,CO,READM-30-AMI-HRRP,0.996,11.7981,11.8459,Below Threshold
UCHEALTH HIGHLANDS RANCH HOSPITAL,60132,CO,READM-30-PN-HRRP,1.0176,16.6339,16.3457,Above Threshold
UCHEALTH HIGHLANDS RANCH HOSPITAL,60132,CO,READM-30-HIP-KNEE-HRRP,0.9879,4.0905,4.1405,Below Threshold
UCHEALTH HIGHLANDS RANCH HOSPITAL,60132,CO,READM-30-HF-HRRP,0.9313,18.1938,19.5354,Below Threshold
UCHEALTH HIGHLANDS RANCH HOSPITAL,60132,CO,READM-30-AMI-HRRP,0.9634,13.3316,13.8385,Below Threshold
ST FRANCIS HOSPITAL & MEDICAL CENTER,70002,CT,READM-30-PN-HRRP,1.0612,17.8887,16.8564,Above Threshold
ST FRANCIS HOSPITAL & MEDICAL CENTER,70002,CT,READM-30-HIP-KNEE-HRRP,0.9634,4.6609,4.8379,Below Threshold
ST FRANCIS HOSPITAL & MEDICAL CENTER,70002,CT,READM-30-HF-HRRP,0.9155,18.6312,20.3502,Below Threshold
ST FRANCIS HOSPITAL & MEDICAL CENTER,70002,CT,READM-30-COPD-HRRP,0.9578,19.4362,20.2922,Below Threshold
ST FRANCIS HOSPITAL & MEDICAL CENTER,70002,CT,READM-30-CABG-HRRP,1.0556,12.8467,12.1704,Above Threshold
ST FRANCIS HOSPITAL & MEDICAL CENTER,70002,CT,READM-30-AMI-HRRP,1.0604,14.0307,13.2316,Above Threshold
DAY KIMBALL HOSPITAL,70003,CT,READM-30-PN-HRRP,0.9531,14.4651,15.1769,Below Threshold
DAY KIMBALL HOSPITAL,70003,CT,READM-30-HIP-KNEE-HRRP,0.9297,3.1086,3.3437,Below Threshold
DAY KIMBALL HOSPITAL,70003,CT,READM-30-HF-HRRP,1.18,23.1265,19.5983,Above Threshold
DAY KIMBALL HOSPITAL,70003,CT,READM-30-COPD-HRRP,1.0262,16.7283,16.3015,Above Threshold
SHARON HOSPITAL,70004,CT,READM-30-PN-HRRP,1.0327,14.8274,14.3576,Above Threshold
SHARON HOSPITAL,70004,CT,READM-30-HIP-KNEE-HRRP,0.905,4.0016,4.4215,Below Threshold
SHARON HOSPITAL,70004,CT,READM-30-HF-HRRP,0.9615,17.4529,18.1511,Below Threshold
SHARON HOSPITAL,70004,CT,READM-30-COPD-HRRP,1.0404,18.6177,17.8942,Above Threshold
WATERBURY HOSPITAL,70005,CT,READM-30-PN-HRRP,1.0303,17.6248,17.1056,Above Threshold
WATERBURY HOSPITAL,70005,CT,READM-30-HIP-KNEE-HRRP,1.0545,5.0755,4.8131,Above Threshold
WATERBURY HOSPITAL,70005,CT,READM-30-HF-HRRP,1.0946,22.4756,20.5328,Above Threshold
WATERBURY HOSPITAL,70005,CT,READM-30-COPD-HRRP,0.9592,19.0519,19.8613,Below Threshold
WATERBURY HOSPITAL,70005,CT,READM-30-CABG-HRRP,0.9568,11.1526,11.6564,Below Threshold
WATERBURY HOSPITAL,70005,CT,READM-30-AMI-HRRP,1.0146,15.6204,15.396,Above Threshold
STAMFORD HOSPITAL,70006,CT,READM-30-PN-HRRP,0.9595,15.2347,15.8783,Below Threshold
STAMFORD HOSPITAL,70006,CT,READM-30-HIP-KNEE-HRRP,0.9197,4.0255,4.3771,Below Threshold
STAMFORD HOSPITAL,70006,CT,READM-30-HF-HRRP,0.9897,18.0338,18.2221,Below Threshold
STAMFORD HOSPITAL,70006,CT,READM-30-COPD-HRRP,1.072,22.8827,21.3456,Above Threshold
STAMFORD HOSPITAL,70006,CT,READM-30-CABG-HRRP,1.0024,8.3844,8.3639,Above Threshold
STAMFORD HOSPITAL,70006,CT,READM-30-AMI-HRRP,0.9802,12.7793,13.0376,Below Threshold
LAWRENCE & MEMORIAL HOSPITAL,70007,CT,READM-30-PN-HRRP,0.9971,16.6752,16.724,Below Threshold
LAWRENCE & MEMORIAL HOSPITAL,70007,CT,READM-30-HIP-KNEE-HRRP,1.0121,4.8923,4.8337,Above Threshold
LAWRENCE & MEMORIAL HOSPITAL,70007,CT,READM-30-HF-HRRP,0.9272,19.0939,20.5938,Below Threshold
LAWRENCE & MEMORIAL HOSPITAL,70007,CT,READM-30-COPD-HRRP,0.9329,18.3518,19.6718,Below Threshold
LAWRENCE & MEMORIAL HOSPITAL,70007,CT,READM-30-AMI-HRRP,1.0393,14.9591,14.394,Above Threshold
JOHNSON MEMORIAL HOSPITAL,70008,CT,READM-30-PN-HRRP,0.9924,14.1745,14.2833,Below Threshold
JOHNSON MEMORIAL HOSPITAL,70008,CT,READM-30-HF-HRRP,0.9898,19.8351,20.0391,Below Threshold
JOHNSON MEMORIAL HOSPITAL,70008,CT,READM-30-COPD-HRRP,0.9855,17.6272,17.8865,Below Threshold
BRIDGEPORT HOSPITAL,70010,CT,READM-30-PN-HRRP,1.103,18.6171,16.8778,Above Threshold
BRIDGEPORT HOSPITAL,70010,CT,READM-30-HIP-KNEE-HRRP,0.9992,4.3963,4.3999,Below Threshold
BRIDGEPORT HOSPITAL,70010,CT,READM-30-HF-HRRP,0.9602,19.0199,19.8082,Below Threshold
BRIDGEPORT HOSPITAL,70010,CT,READM-30-COPD-HRRP,1.0045,19.1307,19.0444,Above Threshold
BRIDGEPORT HOSPITAL,70010,CT,READM-30-CABG-HRRP,0.9781,10.2519,10.4817,Below Threshold
BRIDGEPORT HOSPITAL,70010,CT,READM-30-AMI-HRRP,0.9721,12.4881,12.8463,Below Threshold
CHARLOTTE HUNGERFORD HOSPITAL,70011,CT,READM-30-PN-HRRP,1.13,19.2251,17.0127,Above Threshold
CHARLOTTE HUNGERFORD HOSPITAL,70011,CT,READM-30-HIP-KNEE-HRRP,1.0277,6.0271,5.8644,Above Threshold
CHARLOTTE HUNGERFORD HOSPITAL,70011,CT,READM-30-HF-HRRP,1.051,21.6611,20.609,Above Threshold
CHARLOTTE HUNGERFORD HOSPITAL,70011,CT,READM-30-COPD-HRRP,1.1062,23.9798,21.6781,Above Threshold
SAINT MARY'S HOSPITAL,70016,CT,READM-30-PN-HRRP,0.8945,15.2048,16.9977,Below Threshold
SAINT MARY'S HOSPITAL,70016,CT,READM-30-HF-HRRP,1.0158,20.1251,19.8125,Above Threshold
SAINT MARY'S HOSPITAL,70016,CT,READM-30-COPD-HRRP,0.9103,18.7327,20.5791,Below Threshold
SAINT MARY'S HOSPITAL,70016,CT,READM-30-AMI-HRRP,1.0155,13.6037,13.3962,Above Threshold
MIDSTATE MEDICAL CENTER,70017,CT,READM-30-PN-HRRP,0.9717,15.826,16.2872,Below Threshold
MIDSTATE MEDICAL CENTER,70017,CT,READM-30-HIP-KNEE-HRRP,1.0956,4.9549,4.5225,Above Threshold
MIDSTATE MEDICAL CENTER,70017,CT,READM-30-HF-HRRP,0.9759,18.9137,19.3805,Below Threshold
MIDSTATE MEDICAL CENTER,70017,CT,READM-30-COPD-HRRP,1.1026,21.3103,19.3266,Above Threshold
GREENWICH HOSPITAL ASSOCIATION -,70018,CT,READM-30-PN-HRRP,0.9898,15.9719,16.1361,Below Threshold
GREENWICH HOSPITAL ASSOCIATION -,70018,CT,READM-30-HIP-KNEE-HRRP,0.7226,2.8825,3.9893,Below Threshold
GREENWICH HOSPITAL ASSOCIATION -,70018,CT,READM-30-HF-HRRP,1.0692,20.0458,18.7478,Above Threshold
GREENWICH HOSPITAL ASSOCIATION -,70018,CT,READM-30-COPD-HRRP,1.0346,17.4338,16.8516,Above Threshold
GREENWICH HOSPITAL ASSOCIATION -,70018,CT,READM-30-AMI-HRRP,1.0381,16.4578,15.8532,Above Threshold
MIDDLESEX HOSPITAL,70020,CT,READM-30-PN-HRRP,1.0762,15.5384,14.4385,Above Threshold
MIDDLESEX HOSPITAL,70020,CT,READM-30-HIP-KNEE-HRRP,1.1154,5.5824,5.0047,Above Threshold
MIDDLESEX HOSPITAL,70020,CT,READM-30-HF-HRRP,1.0851,19.3565,17.8389,Above Threshold
MIDDLESEX HOSPITAL,70020,CT,READM-30-COPD-HRRP,1.1032,20.5341,18.6135,Above Threshold
MIDDLESEX HOSPITAL,70020,CT,READM-30-AMI-HRRP,0.9435,14.2718,15.126,Below Threshold
WINDHAM COMMUNITY MEMORIAL HOSPITAL,70021,CT,READM-30-PN-HRRP,0.9985,15.8443,15.8682,Below Threshold
WINDHAM COMMUNITY MEMORIAL HOSPITAL,70021,CT,READM-30-HIP-KNEE-HRRP,0.9983,4.9415,4.9499,Below Threshold
WINDHAM COMMUNITY MEMORIAL HOSPITAL,70021,CT,READM-30-HF-HRRP,0.9801,18.595,18.9718,Below Threshold
WINDHAM COMMUNITY MEMORIAL HOSPITAL,70021,CT,READM-30-COPD-HRRP,1.0371,17.7916,17.1554,Above Threshold
YALE-NEW HAVEN HOSPITAL,70022,CT,READM-30-AMI-HRRP,0.9324,13.8776,14.8832,Below Threshold
YALE-NEW HAVEN HOSPITAL,70022,CT,READM-30-PN-HRRP,1.0414,18.6948,17.9522,Above Threshold
YALE-NEW HAVEN HOSPITAL,70022,CT,READM-30-HIP-KNEE-HRRP,1.2528,5.638,4.5005,Above Threshold
YALE-NEW HAVEN HOSPITAL,70022,CT,READM-30-HF-HRRP,1.0587,21.5581,20.3635,Above Threshold
YALE-NEW HAVEN HOSPITAL,70022,CT,READM-30-COPD-HRRP,0.9557,19.6332,20.5425,Below Threshold
YALE-NEW HAVEN HOSPITAL,70022,CT,READM-30-CABG-HRRP,0.9881,12.184,12.3309,Below Threshold
WILLIAM W BACKUS HOSPITAL,70024,CT,READM-30-PN-HRRP,0.9339,16.2761,17.4278,Below Threshold
WILLIAM W BACKUS HOSPITAL,70024,CT,READM-30-HIP-KNEE-HRRP,1.1671,5.7379,4.9166,Above Threshold
WILLIAM W BACKUS HOSPITAL,70024,CT,READM-30-HF-HRRP,0.9941,19.832,19.9506,Below Threshold
WILLIAM W BACKUS HOSPITAL,70024,CT,READM-30-COPD-HRRP,1.0977,19.532,17.7931,Above Threshold
HARTFORD HOSPITAL,70025,CT,READM-30-PN-HRRP,1.0122,16.773,16.5706,Above Threshold
HARTFORD HOSPITAL,70025,CT,READM-30-HIP-KNEE-HRRP,0.9211,4.1177,4.4702,Below Threshold
HARTFORD HOSPITAL,70025,CT,READM-30-HF-HRRP,1.1632,23.1941,19.9405,Above Threshold
HARTFORD HOSPITAL,70025,CT,READM-30-COPD-HRRP,1.0775,20.291,18.8314,Above Threshold
HARTFORD HOSPITAL,70025,CT,READM-30-CABG-HRRP,0.9549,11.5424,12.088,Below Threshold
HARTFORD HOSPITAL,70025,CT,READM-30-AMI-HRRP,0.9003,12.4533,13.8318,Below Threshold
MANCHESTER MEMORIAL HOSPITAL,70027,CT,READM-30-PN-HRRP,0.9653,15.3827,15.9364,Below Threshold
MANCHESTER MEMORIAL HOSPITAL,70027,CT,READM-30-HIP-KNEE-HRRP,1.1968,6.2838,5.2506,Above Threshold
MANCHESTER MEMORIAL HOSPITAL,70027,CT,READM-30-HF-HRRP,1.0202,18.7599,18.3892,Above Threshold
MANCHESTER MEMORIAL HOSPITAL,70027,CT,READM-30-COPD-HRRP,1.0325,18.1002,17.53,Above Threshold
ST VINCENT'S MEDICAL CENTER,70028,CT,READM-30-PN-HRRP,1.039,16.503,15.8838,Above Threshold
ST VINCENT'S MEDICAL CENTER,70028,CT,READM-30-HIP-KNEE-HRRP,0.9945,4.7534,4.7797,Below Threshold
ST VINCENT'S MEDICAL CENTER,70028,CT,READM-30-HF-HRRP,1.019,19.413,19.0506,Above Threshold
ST VINCENT'S MEDICAL CENTER,70028,CT,READM-30-COPD-HRRP,0.9792,18.3192,18.7093,Below Threshold
ST VINCENT'S MEDICAL CENTER,70028,CT,READM-30-CABG-HRRP,1.0136,10.6863,10.5433,Above Threshold
ST VINCENT'S MEDICAL CENTER,70028,CT,READM-30-AMI-HRRP,1.0705,14.3337,13.3898,Above Threshold
BRISTOL HOSPITAL,70029,CT,READM-30-PN-HRRP,0.9627,15.6775,16.2851,Below Threshold
BRISTOL HOSPITAL,70029,CT,READM-30-HF-HRRP,0.9759,18.1421,18.5906,Below Threshold
BRISTOL HOSPITAL,70029,CT,READM-30-COPD-HRRP,0.9685,19.5794,20.2167,Below Threshold
GRIFFIN HOSPITAL,70031,CT,READM-30-PN-HRRP,1.0365,15.8138,15.2572,Above Threshold
GRIFFIN HOSPITAL,70031,CT,READM-30-HIP-KNEE-HRRP,1.0308,4.0495,3.9283,Above Threshold
GRIFFIN HOSPITAL,70031,CT,READM-30-HF-HRRP,0.9253,17.6548,19.0796,Below Threshold
GRIFFIN HOSPITAL,70031,CT,READM-30-COPD-HRRP,0.95,18.2534,19.215,Below Threshold
DANBURY HOSPITAL,70033,CT,READM-30-PN-HRRP,1.0676,17.1667,16.0798,Above Threshold
DANBURY HOSPITAL,70033,CT,READM-30-HIP-KNEE-HRRP,0.8591,3.744,4.358,Below Threshold
DANBURY HOSPITAL,70033,CT,READM-30-HF-HRRP,1.0047,19.6959,19.6036,Above Threshold
DANBURY HOSPITAL,70033,CT,READM-30-COPD-HRRP,0.9608,18.0563,18.7922,Below Threshold
DANBURY HOSPITAL,70033,CT,READM-30-CABG-HRRP,0.9393,10.5524,11.2342,Below Threshold
DANBURY HOSPITAL,70033,CT,READM-30-AMI-HRRP,1.076,12.98,12.0627,Above Threshold
NORWALK HOSPITAL,70034,CT,READM-30-PN-HRRP,1.0186,15.6614,15.3749,Above Threshold
NORWALK HOSPITAL,70034,CT,READM-30-HIP-KNEE-HRRP,0.9829,4.5329,4.6116,Below Threshold
NORWALK HOSPITAL,70034,CT,READM-30-HF-HRRP,1.0332,20.0094,19.366,Above Threshold
NORWALK HOSPITAL,70034,CT,READM-30-COPD-HRRP,1.0294,17.6143,17.1121,Above Threshold
NORWALK HOSPITAL,70034,CT,READM-30-AMI-HRRP,0.9444,11.3997,12.0706,Below Threshold
THE HOSPITAL OF CENTRAL CONNECTICUT,70035,CT,READM-30-PN-HRRP,1.013,16.5271,16.3153,Above Threshold
THE HOSPITAL OF CENTRAL CONNECTICUT,70035,CT,READM-30-HF-HRRP,1.0431,20.522,19.6746,Above Threshold
THE HOSPITAL OF CENTRAL CONNECTICUT,70035,CT,READM-30-COPD-HRRP,1.0119,18.6423,18.4222,Above Threshold
THE HOSPITAL OF CENTRAL CONNECTICUT,70035,CT,READM-30-AMI-HRRP,0.9669,16.4135,16.9758,Below Threshold
JOHN DEMPSEY HOSPITAL,70036,CT,READM-30-PN-HRRP,0.9764,14.1501,14.4928,Below Threshold
JOHN DEMPSEY HOSPITAL,70036,CT,READM-30-HF-HRRP,1.0885,19.4189,17.8393,Above Threshold
JOHN DEMPSEY HOSPITAL,70036,CT,READM-30-COPD-HRRP,1.0517,18.1362,17.2444,Above Threshold
JOHN DEMPSEY HOSPITAL,70036,CT,READM-30-AMI-HRRP,1.0518,12.5449,11.9274,Above Threshold
CHRISTIANA HOSPITAL,80001,DE,READM-30-PN-HRRP,0.9861,15.9484,16.1728,Below Threshold
CHRISTIANA HOSPITAL,80001,DE,READM-30-HIP-KNEE-HRRP,0.9029,4.7158,5.2229,Below Threshold
CHRISTIANA HOSPITAL,80001,DE,READM-30-HF-HRRP,0.9276,17.5923,18.966,Below Threshold
CHRISTIANA HOSPITAL,80001,DE,READM-30-COPD-HRRP,1.044,20.4857,19.6217,Above Threshold
CHRISTIANA HOSPITAL,80001,DE,READM-30-CABG-HRRP,0.8422,8.6708,10.2951,Below Threshold
CHRISTIANA HOSPITAL,80001,DE,READM-30-AMI-HRRP,0.8871,11.1204,12.5361,Below Threshold
ST FRANCIS HOSPITAL,80003,DE,READM-30-PN-HRRP,0.9671,15.0823,15.5956,Below Threshold
ST FRANCIS HOSPITAL,80003,DE,READM-30-HF-HRRP,0.9959,21.3671,21.4558,Below Threshold
ST FRANCIS HOSPITAL,80003,DE,READM-30-COPD-HRRP,0.9862,22.9973,23.3193,Below Threshold
ST FRANCIS HOSPITAL,80003,DE,READM-30-AMI-HRRP,1.0081,11.0148,10.9267,Above Threshold
"BAYHEALTH HOSPITAL, KENT CAMPUS",80004,DE,READM-30-PN-HRRP,1.0006,16.2603,16.2508,Above Threshold
"BAYHEALTH HOSPITAL, KENT CAMPUS",80004,DE,READM-30-HIP-KNEE-HRRP,0.9675,3.9912,4.1251,Below Threshold
"BAYHEALTH HOSPITAL, KENT CAMPUS",80004,DE,READM-30-HF-HRRP,1.0019,20.0754,20.0372,Above Threshold
"BAYHEALTH HOSPITAL, KENT CAMPUS",80004,DE,READM-30-COPD-HRRP,0.9208,16.5729,17.9992,Below Threshold
"BAYHEALTH HOSPITAL, KENT CAMPUS",80004,DE,READM-30-CABG-HRRP,0.8565,8.9519,10.4512,Below Threshold
"BAYHEALTH HOSPITAL, KENT CAMPUS",80004,DE,READM-30-AMI-HRRP,0.9618,12.5543,13.0534,Below Threshold
"TIDALHEALTH NANTICOKE, INC.",80006,DE,READM-30-PN-HRRP,0.9007,15.2686,16.9517,Below Threshold
"TIDALHEALTH NANTICOKE, INC.",80006,DE,READM-30-HIP-KNEE-HRRP,1.0545,4.5694,4.333,Above Threshold
"TIDALHEALTH NANTICOKE, INC.",80006,DE,READM-30-HF-HRRP,0.8898,18.532,20.828,Below Threshold
"TIDALHEALTH NANTICOKE, INC.",80006,DE,READM-30-COPD-HRRP,0.9552,17.9837,18.8276,Below Threshold
"TIDALHEALTH NANTICOKE, INC.",80006,DE,READM-30-AMI-HRRP,0.9611,14.8516,15.452,Below Threshold
BEEBE MEDICAL CENTER,80007,DE,READM-30-PN-HRRP,1.0039,15.115,15.0557,Above Threshold
BEEBE MEDICAL CENTER,80007,DE,READM-30-HIP-KNEE-HRRP,0.9994,4.8297,4.8324,Below Threshold
BEEBE MEDICAL CENTER,80007,DE,READM-30-HF-HRRP,1.0011,18.4263,18.4055,Above Threshold
BEEBE MEDICAL CENTER,80007,DE,READM-30-COPD-HRRP,0.9219,15.4216,16.7286,Below Threshold
BEEBE MEDICAL CENTER,80007,DE,READM-30-CABG-HRRP,1.0424,10.2371,9.8203,Above Threshold
BEEBE MEDICAL CENTER,80007,DE,READM-30-AMI-HRRP,0.9403,11.0785,11.7819,Below Threshold
"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",80009,DE,READM-30-PN-HRRP,0.9595,15.0484,15.6833,Below Threshold
"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",80009,DE,READM-30-HIP-KNEE-HRRP,0.9143,4.3679,4.7774,Below Threshold
"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",80009,DE,READM-30-HF-HRRP,0.9123,17.8875,19.607,Below Threshold
"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",80009,DE,READM-30-COPD-HRRP,0.9855,18.5592,18.832,Below Threshold
"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",80009,DE,READM-30-AMI-HRRP,1.0437,14.9531,14.3268,Above Threshold
GEORGE WASHINGTON UNIV HOSPITAL,90001,DC,READM-30-PN-HRRP,1.0241,18.4399,18.0058,Above Threshold
GEORGE WASHINGTON UNIV HOSPITAL,90001,DC,READM-30-HIP-KNEE-HRRP,0.9464,3.5186,3.7179,Below Threshold
GEORGE WASHINGTON UNIV HOSPITAL,90001,DC,READM-30-HF-HRRP,0.9948,19.8688,19.9728,Below Threshold
GEORGE WASHINGTON UNIV HOSPITAL,90001,DC,READM-30-COPD-HRRP,1.0312,22.1238,21.4549,Above Threshold
GEORGE WASHINGTON UNIV HOSPITAL,90001,DC,READM-30-CABG-HRRP,1.1915,14.511,12.1786,Above Threshold
GEORGE WASHINGTON UNIV HOSPITAL,90001,DC,READM-30-AMI-HRRP,1.0369,14.9312,14.3993,Above Threshold
HOWARD UNIVERSITY HOSPITAL,90003,DC,READM-30-PN-HRRP,0.9756,17.8143,18.2598,Below Threshold
HOWARD UNIVERSITY HOSPITAL,90003,DC,READM-30-HF-HRRP,1.1746,27.2191,23.1732,Above Threshold
HOWARD UNIVERSITY HOSPITAL,90003,DC,READM-30-COPD-HRRP,1.1467,26.3307,22.9613,Above Threshold
HOWARD UNIVERSITY HOSPITAL,90003,DC,READM-30-AMI-HRRP,1.0847,19.5532,18.0271,Above Threshold
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,90004,DC,READM-30-PN-HRRP,1.08,19.825,18.3558,Above Threshold
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,90004,DC,READM-30-HIP-KNEE-HRRP,1.2662,5.8692,4.6353,Above Threshold
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,90004,DC,READM-30-HF-HRRP,1.0641,22.7193,21.3512,Above Threshold
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,90004,DC,READM-30-COPD-HRRP,1.0117,21.9372,21.684,Above Threshold
SIBLEY MEMORIAL HOSPITAL,90005,DC,READM-30-PN-HRRP,0.972,14.8162,15.243,Below Threshold
SIBLEY MEMORIAL HOSPITAL,90005,DC,READM-30-HIP-KNEE-HRRP,1.0396,4.3592,4.1931,Above Threshold
SIBLEY MEMORIAL HOSPITAL,90005,DC,READM-30-HF-HRRP,1.0047,17.8786,17.7952,Above Threshold
SIBLEY MEMORIAL HOSPITAL,90005,DC,READM-30-COPD-HRRP,0.9997,19.5568,19.5623,Below Threshold
SIBLEY MEMORIAL HOSPITAL,90005,DC,READM-30-AMI-HRRP,1.023,14.352,14.0289,Above Threshold
UNITED MEDICAL CENTER,90008,DC,READM-30-PN-HRRP,0.9857,20.3325,20.6282,Below Threshold
UNITED MEDICAL CENTER,90008,DC,READM-30-HF-HRRP,1.0574,23.0495,21.799,Above Threshold
UNITED MEDICAL CENTER,90008,DC,READM-30-COPD-HRRP,0.963,19.4558,20.2031,Below Threshold
MEDSTAR WASHINGTON HOSPITAL CENTER,90011,DC,READM-30-PN-HRRP,1.0492,19.1392,18.2415,Above Threshold
MEDSTAR WASHINGTON HOSPITAL CENTER,90011,DC,READM-30-HIP-KNEE-HRRP,1.0604,5.1664,4.872,Above Threshold
MEDSTAR WASHINGTON HOSPITAL CENTER,90011,DC,READM-30-HF-HRRP,0.9457,20.0783,21.2313,Below Threshold
MEDSTAR WASHINGTON HOSPITAL CENTER,90011,DC,READM-30-COPD-HRRP,1.0927,23.4205,21.4332,Above Threshold
MEDSTAR WASHINGTON HOSPITAL CENTER,90011,DC,READM-30-CABG-HRRP,0.8429,10.2184,12.123,Below Threshold
MEDSTAR WASHINGTON HOSPITAL CENTER,90011,DC,READM-30-AMI-HRRP,1.0086,15.6397,15.5057,Above Threshold
SHANDS JACKSONVILLE,100001,FL,READM-30-PN-HRRP,1.0564,20.4626,19.3699,Above Threshold
SHANDS JACKSONVILLE,100001,FL,READM-30-HF-HRRP,0.9845,21.7227,22.0647,Below Threshold
SHANDS JACKSONVILLE,100001,FL,READM-30-COPD-HRRP,1.1088,24.8741,22.4326,Above Threshold
SHANDS JACKSONVILLE,100001,FL,READM-30-CABG-HRRP,0.9849,10.5306,10.6922,Below Threshold
SHANDS JACKSONVILLE,100001,FL,READM-30-AMI-HRRP,1.0805,16.0865,14.8887,Above Threshold
BETHESDA  HOSPITAL INC,100002,FL,READM-30-PN-HRRP,0.9665,16.0854,16.6429,Below Threshold
BETHESDA  HOSPITAL INC,100002,FL,READM-30-HIP-KNEE-HRRP,0.9231,4.6914,5.082,Below Threshold
BETHESDA  HOSPITAL INC,100002,FL,READM-30-HF-HRRP,1.0274,21.2538,20.6871,Above Threshold
BETHESDA  HOSPITAL INC,100002,FL,READM-30-COPD-HRRP,1.1018,20.7824,18.862,Above Threshold
BETHESDA  HOSPITAL INC,100002,FL,READM-30-CABG-HRRP,1.0034,13.1093,13.0646,Above Threshold
BETHESDA  HOSPITAL INC,100002,FL,READM-30-AMI-HRRP,1.0017,15.0727,15.0469,Above Threshold
ORLANDO HEALTH,100006,FL,READM-30-PN-HRRP,1.0472,18.3536,17.5263,Above Threshold
ORLANDO HEALTH,100006,FL,READM-30-HIP-KNEE-HRRP,1.2433,5.7097,4.5925,Above Threshold
ORLANDO HEALTH,100006,FL,READM-30-HF-HRRP,1.1599,23.7607,20.4844,Above Threshold
ORLANDO HEALTH,100006,FL,READM-30-COPD-HRRP,1.078,20.9827,19.4644,Above Threshold
ORLANDO HEALTH,100006,FL,READM-30-CABG-HRRP,1.0398,11.9292,11.4726,Above Threshold
ORLANDO HEALTH,100006,FL,READM-30-AMI-HRRP,0.9628,14.7208,15.2897,Below Threshold
